quoteId,text,relatedMonthId,relatedAxes,tags,author
1,"Crawl, Walk, Run. But First, get off your Belly.  Again and again.",all,all,atomic habit; habit; growth; eternity; practice,Mike Kirby;anonymous
2,"The mind is just like a muscle - the more you exercise it, the stronger it gets and the more it can expand",all,gear; on track n +1,habit; practice; growth,anonymous
3,Becoming is better than being,all,all,Growth,Carol S Dweck
4,"If you don't like something, change it. If you can't change it, change your attitude.",all,all,Growth,Maya Angelou
5,Success consists of going from failure to failure without loss of enthusiasm,all,all,Growth,Winston Churchill
6,One can choose to go back toward safety or forward toward growth. Growth must be chosen again and again; fear must be overcome again and again,all,all,Growth,Abraham Maslow
7,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending",all,all,Growth,Carl Bard
8,Incredible change happens in your life when you decide to take control of what you have power over instead of craving control over what you don’t.,all,all,Growth,Steve Mariboli
9,Failure is not the opposite of success; it is a stepping stone towards it.,all,all,Growth, Sundar Pichai
10,The swiftest way to triple your success is to double your investment in personal development.,all,all,Growth,Robin Sharma
