,9/26/23,11/12/23,1/1/24,3/28/24,5/4/24,6/6/24,7/2/24,10/26/24,2/8/25,8/4/25
R Thigh,67,66,66,65.6,65,64,64.5,66.5,64,63.5
L Thigh,66,66,64,65.6,64,64,64.5,64.5,64,64
R Calve,40,39,39,39,40.1,40,40,40,38.5,39
L Calve,40,38,39,39,39.5,39,40,39.5,38.5,38.5
Hips,117.5,117,119,119.5,115,115,114.5,114.5,113,114
Waist,95.5,90.5,93.2,89.5,90.5,88,88,88,87.4,91
R Bicep,28.2,30.4,30,30,30,31,30.3,30,31,30.5
L Bicep,27.2,30.4,30,30,30.2,31,31,28,31,30.2
R Forearm,24.5,25.5,25,25.5,25,25,24.8,25,24.5,24.8
L Forearm,24.2,24.2,24.2,25.5,25,25,24.9,24.5,24.5,25.1
